,A18,A19,A20,A21,B18,B19,B20,B21,B22,B24,C18,C19,C21,C22,C23,C24,D18,D19,D20,D21,D22,D24
ENSG00000198763,5.025728400495452,5.155753708913863,4.963003970546825,5.01139274091141,5.020069500493311,4.931508747912912,5.029217083900831,5.063445150172718,5.087656423621738,5.01124402093723,5.077751926710528,5.063484239313667,4.882540236401065,4.884716372981079,4.88323219885568,4.935269211430841,4.902134910693366,4.964487499362178,4.947562078707076,4.999205910673534,4.905078767118894,4.970739691747782
ENSG00000269028,4.738501417993322,4.190768203894053,4.347401638700377,4.427538345192404,4.446941616309104,4.216985049146791,4.63873794700598,4.374111461839229,4.58849304643241,4.019912462004339,4.499680992261497,4.339539119746815,4.624689483402095,4.1327587523310045,4.1285885782242815,4.3291824233837515,4.066265935468798,4.510700001619711,4.63249974531306,4.550524981689634,4.946499798755015,4.642821200815313
ENSG00000075624,4.843679922523357,4.821585269493394,4.837136414072526,4.812201310559858,4.841432833036041,4.931508747912912,4.82590882363654,4.882887376718918,4.77350716903046,4.899419045982092,4.877037838507531,4.949285015935196,4.778271139475497,4.957805836185548,4.7273767289797695,4.789706413968665,4.8357097289747895,4.834841009426629,4.8488435663537555,4.773940353182494,4.746347797120838,4.776313008922035
ENSG00000212907,4.755682489299198,4.168259938799673,4.37187933951021,4.376436656781404,4.475954926379008,4.190288065583358,4.451346975730523,4.194306601956802,4.86890216862697,4.299110148747959,4.56618354980652,4.501991584900403,4.795603999176701,4.72025018522783,4.022213941063182,4.730245082461598,4.223454074720128,4.931001307916156,4.719818398592843,4.655127067584118,4.838212071811691,4.821461169509275
ENSG00000184009,4.769217925271153,4.741473468667454,4.642148489832406,4.60578522100714,4.758737573955125,4.7069447644487115,4.773002158059995,4.827407726365028,4.7188666276271345,4.60322923398289,4.631412390524681,4.6601604699912915,4.624689483402095,4.768991476106866,4.718092266384494,4.667023323155281,4.699675727630773,4.662137483356484,4.618990619388929,4.74246410259632,4.632194766410528,4.649011216309011
ENSG00000228253,4.762473108113728,4.499482819534742,4.687250837345369,4.797971339982933,4.6447136036495245,4.471457844352913,4.702671917073857,4.624287681680183,4.72872858538251,4.405109196989107,4.775510190972786,4.647894347057257,4.75297685448609,4.513656001329962,4.648071220813049,4.55099647641872,4.614549472213833,4.766209792509137,4.717356106108002,4.761951064062583,4.719756630211511,4.69130056035164
ENSG00000211459,4.674084219205744,4.570456945956158,4.598134675459006,4.698604812737423,4.475954926379008,4.43823194831256,4.566268695744175,4.450877996049798,4.603435328919441,4.497672470777896,4.456180410189307,4.512644886675957,4.5364508112134345,4.356478890163162,4.3635774144173505,4.452023630341062,4.500378268835703,4.715526908067535,4.605296494961519,4.482711566526905,4.595582364130153,4.608073767929608
ENSG00000198804,4.465185910871435,4.478839695282079,4.6109089616622985,4.530039793530596,4.587917562609503,4.475534520761221,4.456020101984808,4.600713406032412,4.735249602668272,4.623644022147149,4.509456441838387,4.5907550807570425,4.56158034239056,4.545466270441646,4.4556093465729525,4.361336122622956,4.562441089760355,4.620137441531803,4.694918313306489,4.5885363750629296,4.716757931198053,4.673395085892665
ENSG00000205542,4.413778751782863,4.539533022348112,4.58193386575878,4.588264089620012,4.627308874841632,4.608659908557652,4.483609339821572,4.635869637716926,4.42533301141107,4.491102157858571,4.486496611892159,4.577601561101769,4.61591409233121,4.617920083803958,4.470654898589586,4.389416199745364,4.5920854008053125,4.623705611565581,4.518943180792391,4.594258132634483,4.453773193429596,4.225020226286213
ENSG00000108518,4.2184489456786745,4.400783444243698,4.422944242661513,4.331761843630494,4.31207890711845,4.491677038583855,4.288957455746027,4.4646380084076345,4.398389512678593,4.554939915787607,4.370534160766267,4.404574802096293,4.39304028671777,4.425877543768435,4.243644014197423,4.633847519250362,4.4604632098472825,4.423237523086149,4.305244379474171,4.501666850929249,4.453773193429596,4.429026797020946
ENSG00000251562,4.492150795048922,4.427484923774975,4.347401638700377,4.44808332632127,4.508113912554023,4.408225179168757,4.469909863641323,4.290958138853063,4.246286256836592,3.9258689518607106,4.381649762534989,4.469333310998316,4.3893620174758565,4.4187951204278635,4.537089894750747,4.173959934136775,4.375509996090675,4.45746458454871,4.43100918450822,4.331503455691386,4.302209359359475,4.02183395137609
ENSG00000248527,4.44214608193571,4.4405729737886785,4.475168945243595,4.340857900924757,4.539270839868621,4.471457844352913,4.488134441223845,4.496026990122049,4.407451580106373,4.487800741789146,4.403517025109461,4.412414735943596,4.4148302283662515,4.356478890163162,4.322870428255271,4.332444717775808,4.407243354039375,4.4905588206337725,4.330969195077799,4.331503455691386,4.445929345389588,4.4667526006817475
ENSG00000080824,4.264034365118207,4.325884140598809,4.2338085847142235,4.303966449554275,4.282777861539083,4.278291834840181,4.398447459731922,4.317693910684372,4.272438142326537,4.180528373573266,4.187014914073736,4.145478046706612,4.288645035265396,4.248758134746838,4.326326687934439,4.098686720698133,4.255771270973753,4.155316316359187,4.239868109675798,4.285962375369246,4.090341979707708,4.229723859571317
ENSG00000026025,3.9220325420651485,4.162552812248634,4.057146462044232,3.9858831689365477,4.139132117356919,4.146032615839193,4.134338228713757,4.053523254862152,3.98768017643732,4.0713639799090435,3.967662060324653,4.135227092665614,4.06587564881434,4.07431680340356,4.067919385838963,3.952754145337735,4.150472234539375,4.021586577164027,3.8802806416243474,4.015658000385856,3.8921382043172708,4.088859959737018
ENSG00000111640,4.139632274497722,4.276053186113017,4.186436284644068,4.15751897124749,4.20553350917684,4.1231480863319865,4.2999170760803,4.113530656915522,4.140160985361919,4.171494912956855,4.078363159964236,4.1606601019807785,4.259701525054903,4.059156606356742,3.9694009254820926,4.22600990789596,4.204507098794779,4.040910103141014,4.2438343888544745,4.121759094046223,4.196837832448906,4.176725455697306
ENSG00000120708,4.152169650732341,4.190768203894053,4.011975055777289,4.054498465282315,4.049404900313433,4.057373526399973,4.04702857097623,4.011419601628394,4.098037258342614,4.101010331978446,4.037623021786188,4.060368057288069,4.013608221378582,4.210108536842966,4.008084782411783,4.181563579443236,4.055223530179037,3.9543370647854292,4.090096487433408,3.9417628764002863,4.07334230356131,4.08344288708673
ENSG00000166710,3.7514436427821396,3.9532213996893653,3.8286518035761827,3.8326758037197823,3.8792572354481756,4.000141743241273,4.094986282992547,3.9056819459103393,3.894222547601308,3.8284687777797393,3.962072133994445,3.904462699781606,3.8380964906683426,4.022862584557447,4.031523677698121,3.9716196928496346,3.9375250170878346,4.066107334308635,3.951690204684939,3.989889209527977,3.9583971627207806,4.027594269604589
ENSG00000197956,4.120526467480817,4.179577397759801,4.181573249470492,4.048451656796314,4.156150376969539,4.151672845976977,4.018554849752984,4.060371353721162,4.140160985361919,4.207149218107384,4.0733604906176915,4.032213916403784,4.181184463366315,4.183486487445248,4.18974967182591,4.11095515738578,4.246643863819797,4.199828437469659,4.090096487433408,4.135392948337807,4.07334230356131,4.077996309859363
ENSG00000123416,4.101048506764423,4.316114621708498,3.946332074138332,4.189628409536608,4.074130254433358,4.263313886538479,4.088274393434134,3.9293001630047897,4.151877464338174,4.040811798751624,4.098127264310168,4.065905001372337,4.055638431702067,4.174452610629437,4.177813051263324,4.146882432658921,4.114501162597625,4.1778200225866735,4.108393100129879,4.060431820785342,4.061846483822994,4.243703453690215
ENSG00000065978,3.9754701328279576,4.0538288933283795,3.8286518035761827,4.0300887030204215,3.9780782809355064,4.044935415871586,3.845562024940947,4.053523254862152,4.008061081308676,4.157789847931657,3.995152374053291,3.8442863310477264,3.8940578242057087,4.0892505969264965,3.949482963655297,3.9335258342433908,4.114501162597625,4.090685238384444,3.8972181612829746,3.8854238812068034,3.8063580089748843,3.773982983951231
ENSG00000231500,3.982876197113868,4.218209284738334,4.1367077678533555,4.118706491184658,3.9438952152317235,4.117344178879034,4.127886173005076,4.060371353721162,4.110254754421192,4.003946234489182,4.1597892237998,4.1300619386631015,4.081037615804796,4.094179376328601,4.085632256122937,4.123074901912618,4.18519419050264,4.072308673822921,3.9463746001552225,4.000276544482528,4.123498181155045,4.136336729334559
ENSG00000137154,3.968008809245473,4.145233363048454,3.862753774620871,4.048451656796314,3.9298879616911444,4.019585226779433,3.9513603367924586,4.032693001581829,3.938444379408403,3.96566940745946,3.892435895466887,3.8020579050298484,4.034844127611288,4.169904882654567,4.054425749703663,4.043712261000813,4.055223530179037,4.028069329874918,4.144011652271357,3.925191930631074,3.9899498609158752,3.7590686868298433
ENSG00000137818,4.0744733016254004,3.9946867096764564,4.017734335616508,3.8098397641539323,4.036809125244623,4.087808345182464,3.8793233829628613,3.848301618516174,3.9598429392954633,4.061283279867191,3.9043839185554865,3.9914170254819763,3.980884091041291,4.0990839819627825,4.003330348988373,4.082091101822568,4.160516422640615,4.078471793617166,4.0379830584761445,3.947226060298777,3.9583971627207806,3.8590791589536835
ENSG00000167996,4.164551785476796,3.887609765574283,3.982670354913893,3.8550019801748565,3.8792572354481756,4.019585226779433,4.101653423274841,4.018561137338593,3.83204328080525,3.9600796967277043,3.892435895466887,4.060368057288069,4.06587564881434,3.96861652795531,3.934279742133101,3.888860711508429,3.998104892553799,3.918936641783413,4.05724908286136,3.8912027776774027,3.9324179983338947,3.9684411209578614
ENSG00000138326,3.990227814601027,3.9318256327243257,3.793345704143231,3.862334627766748,4.017612897039009,3.9324560914669746,3.903916822319649,4.025652032950858,3.8713559939005524,4.003946234489182,3.892435895466887,4.1606601019807785,3.693880588364916,4.028128792386161,3.8764694114615716,3.898960124230857,3.9058008562444417,4.021586577164027,3.913873572947288,4.055554806730768,3.9519653706925304,3.9374984412206286
ENSG00000135480,3.997525779998274,3.872425750803787,3.964666264276655,3.840173383395969,3.8792572354481756,3.92542856676529,3.8541098234152664,3.805201344095588,3.84003043526253,3.7205478784456045,3.8304557743434047,3.823395006474037,3.863355573013533,3.8690554041479275,3.7619478301015077,3.91885801151521,4.015585634474088,3.9261176917725424,3.9028008444988744,3.856017590837446,3.9258163643575537,3.7590686868298433
ENSG00000134333,3.742099972228805,4.001433463105283,3.8957310501736697,3.8326758037197823,4.011131383864849,3.8895304938900988,3.9436077529968183,3.913616826644594,3.9312085468310736,4.105867053938678,3.973220912997476,4.01493292785348,3.850805782375981,3.9053371845254703,3.887232017071719,3.883772496514034,4.0879915395673905,3.812579476516016,3.8513979009594905,3.837949588262614,3.864354433514958,3.9499906400008067
ENSG00000146648,3.498866519584934,3.5711883259986315,3.5504833085787144,3.614930555962711,3.4038325710114563,3.722872667659586,3.3712046927836283,3.5336157796513636,3.358995931649798,3.365095014959345,3.6713841343529476,3.559140571016767,3.498722511299654,3.578063889536732,3.568437812306089,3.434067186569202,3.340310189874221,3.3268512061560838,3.3998339947321172,3.6731514314552824,3.472801991173211,3.2880217042061286
ENSG00000171858,3.9220325420651485,3.8800465772002575,3.8286518035761827,3.6516733942290984,3.893986614939893,3.874802491956278,3.8282440604690255,3.8567031583593945,3.799441008005002,3.872252967748537,3.757524463785853,3.8579752834221313,3.8879923214294854,3.928813763692502,3.8925701916268074,3.8041688191982317,3.8528510565893215,3.918936641783413,3.8972181612829746,3.768758703983806,3.871373079912183,3.720779756828961
ENSG00000182718,3.9220325420651485,3.833425331621461,3.8957310501736697,3.9987139742393536,3.841455697227619,3.852295611601954,3.8282440604690255,4.039684741390178,3.83204328080525,3.9258689518607106,3.95645078465326,3.8913996260150303,3.6714693978477846,3.899380900208786,3.8818651934067034,3.898960124230857,3.8041022858364864,3.8518754105999884,3.9193642970090976,3.9196066937167124,3.850167605024894,3.931193329602445
ENSG00000172757,3.7968956419665005,3.857007622376222,3.8286518035761827,3.912210683331709,3.8491311861302417,3.9532471205022883,3.845562024940947,3.937050547659881,3.9456282306159633,3.847468643823215,3.933643959879913,3.864750124636516,3.8316807547818765,3.9229960867283116,3.959491534399389,3.9139205345037804,3.949938146043046,4.047269182411896,3.8095071598330996,3.813339609779001,3.7760476529119953,4.02183395137609
ENSG00000105974,3.44979202919712,3.857007622376222,3.7492641196846215,3.738025415085778,3.7186377788091707,3.564103032647331,3.6256108600419505,3.8567031583593945,3.83204328080525,3.67687300572355,3.6562773880690544,3.7802555872858385,3.632963801993804,3.7584746296285063,3.7619478301015077,3.7055571112032317,3.4679776862856766,3.675326487709233,3.827675626074216,3.755647536310953,3.7605408457408287,3.587362106377817
ENSG00000125148,3.8057432919433696,3.8010914447208646,3.9707037159096696,3.7864700286491955,3.936916113654907,3.748449901981559,3.8106208908088455,3.937050547659881,3.807691764165256,3.8537225494325487,3.939394615342618,3.9237428211795935,3.9355164287661077,3.7788987300819383,3.8434686342770963,3.883772496514034,3.8391636312758424,3.874732503689362,3.7593794541545775,3.8619684343434773,3.7760476529119953,3.712942848958485
ENSG00000142937,3.510767865771675,3.6972997857614964,3.654804829861668,3.8326758037197823,3.8337208392144304,3.5940160689141702,3.819471297150172,3.71299267283064,3.7129579919105704,3.7486394949334985,3.693624785032825,3.823395006474037,3.7372502315789933,3.8441149629512004,3.8655897107812587,3.6746012119638776,3.8112135887370004,3.7716759862685634,3.8802806416243474,3.6802920798453087,3.8429979951245286,3.872583570742612
ENSG00000070756,3.945284879529575,3.9532213996893653,3.687292806848349,3.840173383395969,3.7778339100912857,3.86735634137179,3.8282440604690255,3.787427285073179,3.84003043526253,3.67687300572355,3.9161908702541863,3.7802555872858385,3.8380964906683426,3.6872145483987064,3.8710443570343034,3.781825639982661,3.832249016851729,3.7202754505413074,3.7972088331956524,3.749026920366117,3.670668501476844,3.647933204077164
ENSG00000067225,3.929843550096506,3.9318256327243257,3.9086233673092994,3.8251215854226968,3.8491311861302417,3.837004583368343,3.836940531223202,3.6114098728481503,3.6854841641182423,3.7623948132382203,3.7846643315083264,3.9734099304975405,3.8695718967799,3.7305769501222383,3.8035387074566365,3.8474110871016545,3.6162298816997605,3.9543370647854292,3.913873572947288,3.6141128205692796,3.850167605024894,3.712942848958485
ENSG00000156482,3.814513347040718,3.759146023906624,3.8005073502125724,3.754435770469423,3.6557157506003106,3.714199451002985,3.8625851758476304,3.897683598910912,3.8479543002524434,3.9258689518607106,3.7225298471635018,3.7875759694495312,3.8252235912968953,3.862878365981069,3.7373811572211246,3.699442118412218,3.866353663137704,3.859552637842086,3.7200625569504964,3.6292024470954902,3.599828771052509,3.656294316982277
ENSG00000069275,3.7231465680475893,3.759146023906624,3.7492641196846215,3.6516733942290984,3.794122838517981,3.773389223524424,3.536155691282419,3.952373406477929,3.7129579919105704,3.5585323394302555,3.7296274263878795,3.910930797529454,3.7158005072918585,3.8054977406105768,3.959491534399389,3.7704640116834973,3.6500964694756646,3.7964182921657046,3.8972181612829746,3.6873821006759115,3.736820230918885,3.656294316982277
ENSG00000133112,3.6435224122472962,3.7418624965434044,3.8286518035761827,3.770581168287068,3.8180692916732513,3.805702682420852,3.6978146759088935,3.683586428583463,3.8558158708946,3.8411753806106907,3.648637563815444,3.7118427172553132,3.6010548481595985,3.7376246724430984,3.8925701916268074,3.7116349380120157,3.722346386402741,3.6844793670134073,3.6364634543098844,3.8318536401858285,3.7605408457408287,3.7813575398722508
ENSG00000140988,3.6940253926474425,3.872425750803787,3.842432456610091,3.6516733942290984,3.627488013057124,3.805702682420852,3.8625851758476304,3.8312837692002075,3.70388365946425,3.638961132199964,3.6562773880690544,3.7196794101706483,3.8121828170017746,3.594405404127079,3.553604090288772,3.655557007448739,3.8112135887370004,3.578871808277707,3.827675626074216,3.6873821006759115,3.687621191878313,3.879267998246666
ENSG00000135446,3.2712986541534077,3.5711883259986315,3.423649007748597,3.3961679553671136,3.131098501314378,3.4230216739358266,3.6256108600419505,3.2246221959285104,3.409193604976674,3.4432593293481406,3.3771679597456554,3.5122300750216864,3.4897026580173645,3.3679953297913188,3.2605035097703694,3.442033261531087,3.2818972434522418,3.4493192275489486,3.4359958655084895,3.4757303399860424,3.277852773844933,3.587362106377817
ENSG00000197756,3.742099972228805,3.631374959633745,3.8694368038790903,3.6871139061833933,3.7359115283732933,3.7651450314103982,3.74637266470853,3.760159437040381,3.8239918177241035,3.7623948132382203,3.7779481053753763,3.6213245275189117,3.765152406671159,3.694573453168917,3.8035387074566365,3.7874584104760745,3.8528510565893215,3.874732503689362,3.8033769024999904,3.518455852286216,3.5719143214097455,3.7362716934361138
ENSG00000074800,3.6435224122472962,3.8173890675089632,3.7567473193550533,3.762541053258177,3.7098877065751124,3.722872667659586,3.6039860346476305,3.5102301489155874,3.791121610128834,3.7276451100936923,3.5934592850568428,3.6634873335212395,3.632963801993804,3.694573453168917,3.5830547074464265,3.655557007448739,3.9058008562444417,3.6844793670134073,3.7784730157496167,3.6944222067998242,3.7913176662582386,3.7590686868298433
ENSG00000106211,3.7038269807460047,3.6506582412937387,3.8005073502125724,3.3961679553671136,3.627488013057124,3.756832307209687,3.488236537159355,3.4237848676467313,3.535505606624393,3.6618802885734456,3.7436732225194738,3.577305467353529,3.414456089370469,3.5186692508087325,3.5757729663414546,3.5183869874696083,3.5167099193351943,3.588946851185539,3.453597956219105,3.518455852286216,3.5719143214097455,3.4229029350700766
ENSG00000071082,3.6011992931571086,3.84134804775821,3.821689601640062,3.678370833973935,3.8101506848232507,3.5940160689141702,3.57064587217984,3.741558834738606,3.757134122757343,3.7486394949334985,3.824041124944648,3.757967313844152,3.7582495102215914,3.6648072247893406,3.7558625100029452,3.655557007448739,3.767766835360646,3.6660890587368797,3.726723661820704,3.6366627241985405,3.744789784935522,3.6970823398009562
ENSG00000148303,3.7514436427821396,3.733107406474893,3.6952525219855765,3.586459422331798,3.6557157506003106,3.669667782181385,3.7175217081104632,3.632568750155481,3.6083015234695432,3.6312031775008906,3.7846643315083264,3.765452070597885,3.6485444090413592,3.7163307208520964,3.523259746937913,3.6746012119638776,3.6666091488162675,3.7202754505413074,3.6291708483098617,3.665959427272383,3.4623283004092484,3.6395015931065937
ENSG00000146731,3.6538291148667996,3.5181085776817977,3.595280301289971,3.2041978957752506,3.495026942602253,3.70545035102689,3.524389451564447,3.1926330305632957,3.3844097110498006,3.4618817374043296,3.4638491976088757,3.4630102062741406,3.6789957396977404,3.544557223797996,3.6463089428285342,3.532982271113631,3.6417367405320364,3.3899588484281193,3.5765768845662036,3.5674276825621694,3.3272588315215104,3.238691094149678
ENSG00000083845,3.2712986541534077,3.5711883259986315,3.522609088978328,3.738025415085778,3.6369860685134165,3.584144145017922,3.411756323444305,3.4237848676467313,3.535505606624393,3.6618802885734456,3.7846643315083264,3.54993286914957,3.5165217536227535,3.701878599819766,3.4347280300680807,3.629587086654266,3.6666091488162675,3.5161920362707773,3.561027591216101,3.4219268838031343,3.6269851183186046,3.5133241229778918
ENSG00000255823,3.6841267816567584,3.072148503998354,3.2163295801601075,3.5767860153081066,3.495026942602253,3.0451348888740704,3.547785095087137,3.3003855860206777,3.6182814769028893,3.150554038258353,3.473032529865833,3.298897230158619,3.778816873526203,3.2494375282798242,3.1437596973731807,3.442033261531087,3.0530887372705924,3.3268512061560838,3.496293583702634,3.606481753020456,3.7605408457408287,3.7439285814290724
ENSG00000164587,3.545644943467279,3.6881438895349823,3.638156272005245,3.738025415085778,3.692154465945517,3.6877191070954503,3.667506233866838,3.5788076797728827,3.84003043526253,3.872252967748537,3.648637563815444,3.727455166561527,3.7085471238985974,3.4461674387411656,3.6463089428285342,3.636143068518774,3.658386892331119,3.7632906148027168,3.6651134144389976,3.8440086007998895,3.821175487595962,3.712942848958485
ENSG00000019582,3.1931645557278423,3.3524807442013334,2.9377074552559637,3.160949159180595,3.2352267869862072,3.2448830527849983,3.2848075074000853,3.314873029110497,3.095479291198683,3.344560539022272,3.3360917669112364,3.237607671576807,3.1082622576429904,3.1783094214036502,3.187804935972888,3.4260371433400145,3.1807010377320974,3.1872638277297445,3.1262470268110922,3.2069125661923046,3.3151342670864006,3.263660556975399
ENSG00000163191,3.498866519584934,3.6881438895349823,3.793345704143231,3.348470036568575,3.692154465945517,3.739996637647872,3.59299569324036,3.7321271604587896,3.7308633007202103,3.7826794021136614,3.861925949990206,3.6634873335212395,3.6562446148752574,3.527373253173567,3.6993610879225454,3.4885413754503474,3.544848610896193,3.7548343338609445,3.6651134144389976,3.6944222067998242,3.6269851183186046,3.8103236640042075
ENSG00000181019,3.3009194356056972,3.3395305502672765,3.136429033943512,3.586459422331798,3.505862987105119,3.6230602428498724,3.103958473182091,3.4862845081344522,3.358995931649798,3.385216296694141,3.6253615197393256,3.3339452946570383,3.4046393176415854,3.473975226234491,3.553604090288772,3.54736759322754,3.4375561023699164,3.6844793670134073,3.33322248630228,3.3552634016501757,3.3627746845738393,3.464102558012661
ENSG00000125691,3.6841267816567584,3.8173890675089632,3.671180746134346,3.7297181325408957,3.7778339100912857,3.5940160689141702,3.559280809102164,3.6429826362952693,3.6947262288729545,3.713399915836601,3.6015307643092895,3.7118427172553132,3.7230016577526,3.831407536621249,3.6993610879225454,3.6491274815931467,3.4679776862856766,3.8045315319705204,3.7784730157496167,3.606481753020456,3.4934259137715684,3.8031604122169047
ENSG00000182899,3.713533429477915,3.7242749872825187,3.6792692259529134,3.5269635037601113,3.537683926048719,3.722872667659586,3.7744145320624094,3.5788076797728827,3.8239918177241035,3.7276451100936923,3.6331805530049848,3.54993286914957,3.778816873526203,3.594405404127079,3.5610484559588715,3.6029247059910783,3.607580939772933,3.675326487709233,3.5765768845662036,3.6731514314552824,3.7042912729018016,3.647933204077164
ENSG00000096384,3.7038269807460047,3.484853462734206,3.6126519070304015,3.678370833973935,3.4729961018585627,3.748449901981559,3.4507274050626755,3.7509023830667996,3.371783551700237,3.5751439343113103,3.3970901874228403,3.6798669782977695,3.693880588364916,3.8249927514316537,3.837861050710779,3.6682933560868576,3.846030761951244,3.6282616356125303,3.699808809440806,3.5594304485536306,3.53343997377756,3.4229029350700766
ENSG00000142676,3.6011992931571086,3.6117125094281857,3.568643619455138,3.506318035395869,3.7528919551285775,3.533267542339198,3.6256108600419505,3.6429826362952693,3.628162814239341,3.6618802885734456,3.6015307643092895,3.4528686972220517,3.525303962626199,3.6024770983773853,3.7373811572211246,3.561548909076839,3.767766835360646,3.6844793670134073,3.5291843074915206,3.5267861862962353,3.53343997377756,3.484082843470079
ENSG00000122406,3.4113381256896154,3.678903387635492,3.4543786468570215,3.516694048052282,3.4038325710114563,3.337913800646294,3.488236537159355,3.6114098728481503,3.445254467788504,3.5501219033633844,3.4357820903982437,3.5025780028485936,3.480600705900722,3.4461674387411656,3.7497399319413702,3.532982271113631,3.554054931018098,3.568694224904491,3.5372406939057415,3.665959427272383,3.599828771052509,3.379932693167399
ENSG00000198744,3.43713765300018,3.591655679849172,3.568643619455138,3.5471913443478185,3.5984402673433853,3.773389223524424,3.614856900340031,3.5336157796513636,3.5982209656956066,3.7346923258108964,3.5688464342977264,3.638403559804509,3.525303962626199,3.6341277135736796,3.4919657321094633,3.5035755223972487,3.5900553557850037,3.4021161660300847,3.5765768845662036,3.5513687428517056,3.5431982241691062,3.5693601441135687
ENSG00000167553,3.3437677711442415,3.6117125094281857,3.586480007240988,3.624243604639143,3.5885671056048967,3.6230602428498724,3.614856900340031,3.461751377049297,3.657234150105574,3.433816442049431,3.60953761607577,3.531259149147964,3.5511970973737403,3.6263084785487587,3.743579636873815,3.4885413754503474,3.6162298816997605,3.702537570176109,3.4794334455442235,3.518455852286216,3.5906102637235735,3.433363062659867
ENSG00000247627,3.240773629486878,3.45045429029747,3.4939355640112093,3.372603355445599,3.427422604064471,3.533267542339198,3.500433312576166,3.567699725090647,3.567354857640143,3.5668726296097595,3.5000871144401087,3.595146278453865,3.4621444301419815,3.5098888230935694,3.4347280300680807,3.4577775273004545,3.5811760218531576,3.4021161660300847,3.5128741644661727,3.466961730640276,3.3627746845738393,3.503671724722511
