	E18	E19	E20	E22	E23	E24	F18	F19	F20	F21	F22	F23	F24
ENSG00000269028	4.717308181898293	4.691820078913325	5.422054415457955	4.897591020306254	4.701885748680624	4.6463186018339275	4.3494785486231775	4.6226617345578775	4.59515460252382	4.733328928287973	5.018643375822824	4.9006846729886835	4.729337714218626
ENSG00000075624	4.733124439503069	4.678001635005658	4.67900282541663	4.653538912444184	4.7423445515805325	4.660171545107199	4.706740664467497	4.9403236115338	4.671171985956076	4.887433133054903	4.700471906848805	4.602323190856583	4.664867713979448
ENSG00000212907	4.305665639368901	4.254765362823547	5.256406009138563	4.749553194621616	4.251295368637891	4.901074201367497	4.409014913547198	4.473598006528028	4.435652509871973	4.695926894508066	4.8972851277663	4.763999677308616	4.713605672175969
ENSG00000184009	4.8420447385789815	4.7885412766336115	4.699717320638387	4.817794367238778	4.925572861624653	4.7137404928590145	4.878396487565015	4.901791939164814	4.837160688689921	4.801546761044461	4.712483731430612	4.708997650865139	4.7935680576458175
ENSG00000228253	4.794000652895964	4.7607505526942955	4.9196694534992105	5.016549093762905	4.713613398955023	5.0192320142948175	4.759921332045819	4.746260271784861	4.718818578749212	4.872802836439688	4.8972851277663	4.690980709079554	5.0039961198844765
ENSG00000211459	4.6876455706146585	4.544208220537193	4.706527883953643	4.54089264838929	4.5492469490290715	4.786648096994873	4.46022528959156	4.572977643330406	4.410638433522799	4.509560526315898	4.598800079444163	4.666441775765757	4.6438376299737145
ENSG00000198804	4.622626025793366	4.581672683572387	4.67900282541663	4.612394038577956	4.542352229181616	4.671117366668894	4.745013238429656	4.605199428417167	4.501379851455165	4.5130864340810755	4.841149259112865	4.6348962944208685	4.577955995370506
ENSG00000205542	4.18203289862522	4.142459859913435	4.228337646242683	4.13269928052973	4.1490554932517645	4.191443626470918	4.414255587206587	4.213447548292276	4.3519584562540885	4.196981804567908	4.240704007430823	4.195249161514076	4.0829354346384665
ENSG00000108518	4.607914010694345	4.52168771697279	4.6928600553016295	4.453385777493184	4.492710410315543	4.508969729485261	4.679050730559641	4.445064039609171	4.636414942118113	4.780219170902104	4.522376455928259	4.5086766657499835	4.545659913893642
ENSG00000251562	4.186560571298217	4.197942076036998	4.183553023923464	4.0931506754450915	4.164316891653747	4.191443626470918	4.014824021030793	4.037194231066771	4.151911771111415	4.0461371763297365	4.129483550801445	4.0624486687995	4.044984075513304
ENSG00000248527	4.41568140561438	4.33240572295516	4.636240346290832	4.369027748697508	4.274171474519096	4.33838285727963	4.237475539187384	4.335946633083093	4.057354517108631	4.293557408874088	4.278265486251196	4.368384947819293	4.404910488693326
ENSG00000080824	4.1403340170136405	4.233290656265071	4.217328114277429	4.103185424398701	4.208751489139372	4.141870509557288	4.045521144779108	4.0857361707631386	3.9326940803420443	4.079268293019037	4.0163746380157965	4.159807599736687	3.972816229739237
ENSG00000026025	2.9513110441256023	2.789008843104237	2.9056076788892424	2.7215097261622607	2.809012781138686	2.6448814530778506	2.72465595944146	2.563332783431971	3.1754243532599418	2.5800845271799484	2.659739783593221	2.7425627890534443	2.927053355732266
ENSG00000111640	4.191067836514955	4.336329743356748	3.9811793128188437	4.259964934761411	4.232610064017776	4.2428600447078635	4.179698888667601	4.143276764220806	4.24579053535468	4.201798416903191	4.201676415451958	4.29910184217177	4.221793423423745
ENSG00000120708	3.806440533542348	3.913763483332513	3.762690813944428	3.559575053286004	3.6299190913447785	3.596384358212571	3.778571564201113	3.7838140184831786	3.678218384899243	3.556110849222047	3.571240549370207	3.68782984274949	3.663457418096743
ENSG00000166710	3.3548871976985	3.10239245311238	3.05781129208538	3.2138054235586035	3.0357592019142183	3.1010624099602917	3.1176257725304803	2.9240310251436865	3.278783010268672	2.908776925251064	3.103155660693246	2.899658984471011	2.9732900429207985
ENSG00000197956	3.912881036928472	3.8834288978507345	3.7450944224732448	3.7108855417670368	3.712557338794194	3.730473730945698	3.6066884884927313	3.823084548686665	3.7664164085088867	3.820344640671404	3.7582094569442046	3.7748213207125634	3.7292248837388122
ENSG00000123416	4.0616168915251425	3.9885793397632794	3.9811793128188437	3.8928262928634494	4.0910156567583496	3.8671027527096182	3.9750780896257853	4.055674684424377	3.9224289783949655	3.9333351125424	3.818373814154186	3.8959407295652313	3.760554654659876
ENSG00000065978	4.293562099595423	4.19343433538802	4.342059680559108	4.2852497622621035	4.2831773720708615	4.2088778273950265	4.2802130160894265	4.239177298108107	4.416950856522886	4.275866849733953	4.181576165451238	4.321272858003732	4.215289902269514
ENSG00000231500	3.9761698495849616	4.04778701316048	3.9951010454224263	4.072773940984941	4.080091254560886	3.914606368771581	4.0302903674562796	3.9461266999383318	4.066329763660695	4.147494973763524	3.9546301396536547	3.9795751970795914	4.029390846855462
ENSG00000137154	4.186560571298217	4.267432257966073	4.291964714515271	4.189235699347323	4.223134831789554	4.204547689716319	4.27421835495065	4.208221191226111	4.207739493227908	4.177479950130476	4.3831608443319645	4.25791153532882	4.090355881054787
ENSG00000137818	3.7659940521989417	3.8393525370881134	3.6124028595746434	3.940938772262244	3.8106913543006486	3.9029403407194745	3.8172927230925118	3.925484470569667	3.637900259158583	3.920685938605533	3.660578301481088	3.6627299924290417	3.6170794994806896
ENSG00000167996	3.4814357845894266	3.62476785968911	3.3858647310903383	3.6016655846528587	3.638497077038609	3.513307647019043	3.4820184514408634	3.4768241405506033	3.5958880403904034	3.684916810943932	3.51353733909788	3.3807615188194116	3.5173250302026733
ENSG00000138326	3.7728497614516874	3.62476785968911	3.762690813944428	3.6959942428280415	3.7437907975016658	3.7374211028846913	3.908003884119615	3.6827505390443562	3.9120574102994623	3.7549215630946975	3.928823787599681	3.8192635662176766	3.858419384178797
ENSG00000135480	4.040929822702816	4.063344184644511	4.206196021933944	4.161366982569162	4.029398504923774	4.151068518296904	3.9669357565280934	4.079795734506327	4.151911771111415	3.9396002005223782	4.0745274459202525	3.9289407298409023	3.9039797883398473
ENSG00000134333	3.786421768665114	3.584059216171992	3.632471241524092	3.754273440505064	3.7437907975016658	3.7164324906801776	3.9251989059213863	3.9663514312399712	3.678218384899243	3.6521579266409474	4.107862162097879	3.759557216137181	3.7707835206682847
ENSG00000146648	4.1355916239203045	4.042547037012213	4.124595442842898	3.9641539109051847	4.123090555868756	3.9980158595000117	3.916638353162043	4.154397980410754	4.075225171205679	4.023423793473278	3.8888209071504583	4.015936471114369	3.9974554215728086
ENSG00000171858	3.75909101756112	3.9718042694470985	3.72718284356956	3.9291259207546196	3.8249693360042833	3.891136608415009	3.788393320777665	4.024681422215601	3.8362785934444914	3.952013837987992	3.533144041925228	3.8264823078846897	3.7292248837388122
ENSG00000182718	3.888836273054512	3.7088889371377856	3.6124028595746434	3.6341072358699305	3.9131152551748714	3.8486905359846015	3.778571564201113	3.791792468044346	3.7542830319625926	3.7549215630946975	3.832865855286856	3.8959407295652313	3.760554654659876
ENSG00000172757	3.8827336473255474	3.8956733740557525	3.8933153391733804	3.842281484557539	3.817855827531206	3.897055890478177	3.9911665221268064	3.7175856462056114	3.7295654856826346	3.8817491042155265	3.8471508737726166	3.9354120338481935	3.86769903920072
ENSG00000105974	3.857943762790749	3.925644270101395	3.908505973864496	3.816017591408337	3.95754495078546	3.7021912828618455	3.8361051926123846	3.79970776547188	3.9428548797408567	3.820344640671404	3.7887440360578175	3.9354120338481935	3.989309626250324
ENSG00000125148	3.5434770054876137	3.5063274008385226	3.3858647310903383	3.542229933586476	3.6212668867042903	3.5639770889997386	3.546295040343685	3.5603465958361915	3.4075940196578327	3.643797736427734	3.7105848866193183	3.7672183922532003	3.5432119532160247
ENSG00000142937	3.953616453579601	3.966149457131288	3.762690813944428	3.9698744524962586	3.93239875995133	3.873165585675808	3.933686797199659	3.979610857406786	3.9326940803420443	3.970350056467424	3.9921323782278506	4.015936471114369	4.067927281307268
ENSG00000070756	3.9009309220843504	3.8263940361904534	3.72718284356956	3.7182488518706345	3.6965670014295173	3.8043626226998466	3.863676515493053	3.9461266999383318	3.7664164085088867	3.574274145333016	3.7887440360578175	3.6015910104808024	3.69688172344666
ENSG00000067225	3.7380913126234887	3.663883929742013	3.8463077988778327	3.688464602730949	3.558510028619416	3.6200186894520257	3.6066884884927313	3.742938052691148	3.8249685969884912	3.6929415572539623	3.7267130718900248	3.696058384622263	3.449514764091516
ENSG00000156482	3.4250109676815272	3.3719501142468733	3.3336762084023035	3.4115801695756227	3.53983154740408	3.2240069735708663	3.6298603078170197	3.1885549946972427	3.536976719273572	3.4187954328998584	3.2928884657656745	3.3694656523506383	3.3615632815534764
ENSG00000069275	3.687305870943368	3.6715268311859313	3.796981082918101	3.7471715969238497	3.5858894472063167	3.784746445377996	3.778571564201113	3.8153528483195336	3.7042214646876648	3.762405776475984	3.6257949686235182	3.7440565023808507	3.421048520603738
ENSG00000133112	3.5605183604560904	3.450932543705624	3.632471241524092	3.649941738597009	3.7204576344313347	3.5557084721289165	3.6746528050617004	3.823084548686665	3.7542830319625926	3.6009151088364795	3.7267130718900248	3.5364692278499628	3.750220076707097
ENSG00000140988	3.625920155367429	3.632714437214207	3.2203409870036714	3.7034676108894433	3.612539167576667	3.6200186894520257	3.546295040343685	3.5298372957899504	3.778404329334714	3.546903969670419	3.571240549370207	3.6015910104808024	3.685863955096042
ENSG00000135446	3.8827336473255474	4.052999675022748	4.0088316215713835	4.019937990380887	3.95754495078546	3.9764446922167935	3.826743195826292	3.904407142383097	3.9326940803420443	4.023423793473278	4.150647331721949	4.06811347877776	4.021502093587322
ENSG00000197756	3.6798355901934423	3.7449052470010256	3.549661850151791	3.6260949567195127	3.7282960043095614	3.817229509469073	3.5708918069231728	3.67384879668748	3.581482367915612	3.8817491042155265	3.7735932870389135	3.5170565891822796	3.6747234418961767
ENSG00000074800	3.8195671478821676	3.592334600410996	3.50553506538444	3.542229933586476	3.558510028619416	3.6506865564245343	3.663641369754456	3.7175856462056114	3.7042214646876648	3.716636503526655	3.607938818056691	3.789855931034902	3.5684456187142604
ENSG00000106211	3.472249980675816	3.567300124066381	3.591923475446289	3.2727784465787058	3.430354700322908	3.5473709147947976	3.4551045770369906	3.4208424871899514	3.581482367915612	3.4292541164075203	3.041606484772037	3.3694656523506383	3.4353829298051526
ENSG00000071082	3.687305870943368	3.858480771872282	3.6714387539664624	3.795856851150022	3.7204576344313347	3.6200186894520257	3.7586338251874345	3.570312962391716	3.778404329334714	3.7698343922540687	3.832865855286856	3.70421976981937	3.7077794222746654
ENSG00000148303	3.641623453139475	3.5329150482686837	3.27861334816251	3.6260949567195127	3.6212668867042903	3.5557084721289165	3.641247929224493	3.5996296000848726	3.7295654856826346	3.6096400104520683	3.533144041925228	3.5555121811575434	3.5303522559683933
ENSG00000146731	3.930542642201088	3.8647763964459454	3.9527405552243535	3.8292357595152775	3.781508859428088	3.817229509469073	4.045521144779108	3.9324126663429873	3.778404329334714	3.9458262814308975	4.040043093521089	3.960886429405975	3.739777578976961
ENSG00000083845	3.3124919819162697	3.4023042217470345	3.2203409870036714	3.3914403475289516	3.3982932054399018	3.4507537012657674	3.5337659973824653	3.4983678068427233	3.50616632819951	3.6009151088364795	3.1325655663385645	3.2488797535831635	3.3461221547912308
ENSG00000255823	3.4441751770362368	3.479013497013754	4.124595442842898	3.6959942428280415	3.4408174326445105	3.4958307800648254	3.191302750575157	3.4208424871899514	3.2982319520185785	3.546903969670419	3.7267130718900248	3.68782984274949	3.5432119532160247
ENSG00000164587	3.5689313579406488	3.422040211304988	3.4827193291538934	3.4015609592494367	3.3424615549413086	3.588380467233653	3.6746528050617004	3.3492455817244635	3.536976719273572	3.3536365591285824	3.6775265383436335	3.4668093549689423	3.5303522559683933
ENSG00000019582	1.6971643667905076	1.7028688275942758	1.7059969450600094	1.1363507512358095	0.9648240648746302	1.0095029856856306	1.1503402211255709	0.5333581379636471	1.1266098683346484	0.8259399851384969	1.46398253676918	1.1972714076684876	1.16597993121885
ENSG00000163191	3.3124919819162697	3.3719501142468733	3.50553506538444	3.2138054235586035	3.4614201090903616	3.4131693851475857	3.468652056085713	3.2853981606873472	3.4580942450276715	3.33093802505231	3.2159365099761072	3.28660636385742	3.5041258533158515
ENSG00000181019	2.0200969749905093	1.9439413074674303	1.8338635979715132	2.034487765763934	2.5152969293346747	2.0008764064512543	2.2197703657889907	1.7192257759980352	2.6035099057532824	2.004197054157182	2.2659387583514485	2.151007941877523	1.689751109143946
ENSG00000125691	3.617975055240792	3.8647763964459454	3.632471241524092	3.6016655846528587	3.7282960043095614	3.6277742795558368	3.717524657640269	3.5603465958361915	3.69130444243216	3.70880040628252	3.694192313060297	3.619444020921693	3.7077794222746654
ENSG00000182899	3.625920155367429	3.4317640362326447	3.2203409870036714	3.649941738597009	3.558510028619416	3.4507537012657674	3.3990011558651987	3.5089680547139888	3.4903976822288083	3.6096400104520683	3.58975801963315	3.6105573564198763	3.6288771810124265
ENSG00000096384	3.4629790148839787	3.701527356200745	3.4593708566851347	3.4115801695756227	3.481606869821685	3.459933138935801	3.727961466231264	3.4436125819222307	3.7295654856826346	3.386746612010361	3.387065472472336	3.4139031408511724	3.4353829298051526
ENSG00000142676	3.617975055240792	3.8956733740557525	3.5710159018082277	3.649941738597009	3.511142912902674	3.665674857835055	3.6963184632261408	3.5801809798619217	3.6240913753489816	3.8412345541090303	3.6257949686235182	3.6105573564198763	3.4065056442401165
ENSG00000122406	3.7020810731701057	3.8647763964459454	3.7450944224732448	3.7182488518706345	3.788884709923178	3.6122024797231664	3.798119547957965	3.823084548686665	3.801957467557357	3.806171585755027	3.7267130718900248	3.7440565023808507	3.739777578976961
ENSG00000198744	3.6798355901934423	3.6005420643478674	3.249901566051052	3.5156347668522416	3.6470021062698175	3.6277742795558368	3.3844693113733477	3.767663574940144	3.536976719273572	3.6268647101307945	3.473131556662741	3.6282524077344913	3.685863955096042
ENSG00000167553	3.7238424444043416	3.737805011976367	3.4593708566851347	3.6341072358699305	3.3651696250653904	3.817229509469073	3.7686523830509127	3.6281111950752174	3.7295654856826346	3.70880040628252	3.6433378624594916	3.6711668034653484	3.739777578976961
ENSG00000247627	3.9009309220843504	3.765908392331971	3.762690813944428	3.740018956191936	3.8249693360042833	3.7443205416648437	3.6066884884927313	3.79970776547188	3.6240913753489816	3.8132832224387654	3.51353733909788	3.8478310407163914	3.739777578976961
ENSG00000109475	3.633802628131862	3.694111180235709	3.36011088635429	3.5681360824146777	3.603734604200776	3.658208788014345	3.6963184632261408	3.6466580131390662	3.6240913753489816	3.643797736427734	3.58975801963315	3.4668093549689423	3.750220076707097
ENSG00000196230	3.4629790148839787	3.3511897751240625	3.36011088635429	3.370886561611806	3.530359824301044	3.343793376493151	3.468652056085713	3.4436125819222307	3.4247123613364256	3.4187954328998584	3.16113518340774	3.3694656523506383	3.298314493457464
ENSG00000196262	3.3754293088728846	3.2749341626300765	2.945884876783333	3.3284664791049767	3.233365877996701	3.2123708036038834	3.259921943519341	3.2853981606873472	3.3173098376099186	3.0849070337887348	3.2422506325320066	3.445981538560201	3.1394282097452875
ENSG00000234745	2.2942398221715004	1.7028688275942758	2.22598483706381	1.9941745167476823	2.5412197561846956	2.076555757340844	2.0119389960671117	1.8926867501349072	1.8266356568565487	1.8651823925452584	1.943286174321888	1.4589704497012017	1.8408287081892385
ENSG00000142871	3.7380913126234887	3.75895624358652	3.8622237692580987	3.782186948565181	3.8801259899202503	3.897055890478177	3.826743195826292	3.9114823949621673	3.8802812352669007	3.762405776475984	3.6257949686235182	3.759557216137181	3.7077794222746654
ENSG00000249072	3.5689313579406488	3.663883929742013	3.549661850151791	3.4696746393638365	3.520797529102052	3.784746445377996	3.259921943519341	3.4983678068427233	3.2982319520185785	3.7845280927666467	3.8751229259797504	3.5268100140939773	3.463449669373964
ENSG00000108298	3.508497520206532	3.5588140623298345	3.4827193291538934	3.6260949567195127	3.6470021062698175	3.4958307800648254	3.441371040302373	3.6648671010574736	3.35440724914545	3.6096400104520683	3.51353733909788	3.49725962693162	3.5684456187142604
ENSG00000087460	3.2099717186153374	3.115754311962855	2.6224540728668497	3.176676627062117	3.066493878568555	3.1268903252722366	3.3241333813478686	3.3114283165717686	3.1754243532599418	3.2218913045525124	3.2928884657656745	3.051135026631993	3.0174830441749068
ENSG00000154978	3.7309922570799134	3.90173984457484	3.7089445796697653	3.7034676108894433	3.7590491608511134	3.7443205416648437	3.717524657640269	3.767663574940144	3.8585219238931128	3.7473809136182807	4.004326967218013	3.4668093549689423	3.895032255681397
ENSG00000213741	3.323260475153203	3.412220904396315	3.0924992967699283	3.317574204953684	3.2586586466681475	3.2355092990309435	3.4551045770369906	3.4768241405506033	3.536976719273572	3.386746612010361	3.4310241502877807	3.4029775212117954	3.5432119532160247
ENSG00000034510	3.301606264762686	3.308329592428281	3.27861334816251	3.1381159481405287	3.3873734675906846	3.4035483665237973	3.3241333813478686	3.432292342807808	3.4075940196578327	3.4187954328998584	3.317277182323489	3.477062815851884	3.176981858978544
ENSG00000136810	3.1481201014912794	2.9579269007463145	2.819833373346176	2.9354312334490333	3.0200302159305794	3.005019229063561	3.1733861331727025	3.0650142434610053	3.336030560756962	3.024388109665253	3.103155660693246	3.1826557359114025	3.1394282097452875
ENSG00000167658	3.054549504457584	3.1548009296526702	3.021876657129415	2.9670248962424384	2.9374453677370336	3.1140597504498424	3.0983259662941856	2.9049239769000628	3.278783010268672	3.039864653268056	3.341085223223488	3.0818930076693496	3.0803133042792856
ENSG00000072110	3.4054723035936125	2.942262665423057	3.126024274179163	2.902806755359891	3.1108941856294763	3.312521252148062	3.5708918069231728	2.9792547324682395	3.2589482918339705	3.0086682723828284	3.2678900386788565	2.8044013211464702	2.995630651354313
ENSG00000170315	3.1856881898011564	3.308329592428281	2.7740195691933027	3.124924728344384	3.1108941856294763	3.2123708036038834	3.4274462640945513	3.217194533488922	3.35440724914545	3.0994813220041806	3.5523737026628885	3.2488797535831635	3.3145056656739555
ENSG00000244052	3.472249980675816	3.584059216171992	3.3858647310903383	3.5766244420095377	3.6212668867042903	3.588380467233653	3.6298603078170197	3.570312962391716	3.7042214646876648	3.6268647101307945	3.4522994663129807	3.6105573564198763	3.3145056656739555
ENSG00000008988	3.3124919819162697	3.10239245311238	3.126024274179163	3.0562249865807183	3.3424615549413086	3.2581244901428543	3.2925429625096343	3.1131480423179405	3.1534059069360643	3.0994813220041806	3.2159365099761072	3.334791681399399	3.195242737378209
ENSG00000143947	3.472249980675816	3.592334600410996	3.2203409870036714	3.421499990308309	3.501394175648456	3.4958307800648254	3.4551045770369906	3.5089680547139888	3.372452319731047	3.1959546264749363	3.4522994663129807	3.5072070972212597	3.4771930587704616
ENSG00000214182	3.3754293088728846	3.4882012758342054	3.50553506538444	3.5681360824146777	3.3873734675906846	3.333477615202958	3.3395620719248647	3.4436125819222307	3.336030560756962	3.470028167309461	3.341085223223488	3.3580407300977555	3.298314493457464
ENSG00000112306	3.4054723035936125	3.469740519522209	3.6124028595746434	3.2258815378103196	3.3424615549413086	3.4958307800648254	3.4551045770369906	3.519457114916956	3.4247123613364256	3.375831284328072	3.571240549370207	3.564899374147163	3.421048520603738
ENSG00000145592	3.323260475153203	3.2635498341249214	3.05781129208538	3.4115801695756227	3.3538800456745883	3.44148922026717	3.276365463477118	3.3492455817244635	3.35440724914545	3.386746612010361	3.341085223223488	3.4247106802637965	3.3615632815534764
ENSG00000244398	3.4250109676815272	3.469740519522209	3.4827193291538934	3.50661017602958	3.53983154740408	3.4690290803971795	3.558669046842891	3.258672285781302	3.7042214646876648	3.5652337348763834	3.4310241502877807	3.4668093549689423	3.6405372986131295
ENSG00000174748	3.26821953249389	3.308329592428281	3.126024274179163	3.34990143642046	3.2954373223452595	3.343793376493151	3.3084629110623456	3.2450366343658597	3.2387121824417537	3.3077122773900616	3.4935385124059306	3.3580407300977555	3.1394282097452875
ENSG00000198363	3.2794727514757236	3.4023042217470345	3.6714387539664624	3.0980084994333645	3.430354700322908	3.2123708036038834	3.4551045770369906	3.4983678068427233	3.4415425904847914	3.3193925791249734	3.4935385124059306	3.0969243523687617	3.158381308575481
ENSG00000136942	3.2218958705648566	3.180009912578878	3.021876657129415	3.4115801695756227	3.4915494641206313	3.44148922026717	3.3990011558651987	3.5996296000848726	3.4903976822288083	3.439604547060274	3.607938818056691	3.196256040199588	3.3917481475888795
ENSG00000204628	3.2794727514757236	3.192380031103144	2.9056076788892424	3.2841669109641747	3.376333171390005	3.246880824083189	3.2925429625096343	3.3367980577949767	3.3173098376099186	3.4082262081978527	3.317277182323489	3.3580407300977555	3.195242737378209
ENSG00000256618	3.4814357845894266	3.584059216171992	3.126024274179163	3.559575053286004	3.3873734675906846	3.312521252148062	2.951667926309592	3.097359478792524	3.107858931243811	3.3193925791249734	3.40928633760387	3.5741992666162847	3.2481060013587464
ENSG00000224631	3.4250109676815272	3.4973054073250998	3.27861334816251	3.421499990308309	3.501394175648456	3.3641110403750822	3.468652056085713	3.4208424871899514	3.336030560756962	3.5282319407977094	3.4935385124059306	3.5072070972212597	3.4065056442401165
ENSG00000143933	3.1856881898011564	3.3719501142468733	3.249901566051052	3.176676627062117	3.451171828713643	3.312521252148062	3.369723174486745	3.217194533488922	3.372452319731047	3.2718297837593577	3.2422506325320066	3.1548873191715963	3.298314493457464
ENSG00000225972	3.508497520206532	3.460380748456493	3.36011088635429	3.4410492160855446	3.5492143980853617	3.5389632577283483	3.2925429625096343	3.519457114916956	3.372452319731047	3.3647954961928472	3.4522994663129807	3.3919312125922216	3.4065056442401165
ENSG00000134419	3.1352770853604484	3.0888496342996827	2.9056076788892424	3.0842737366048203	3.1108941856294763	3.005019229063561	3.1733861331727025	3.081317632207388	3.278783010268672	3.1959546264749363	3.16113518340774	3.0666322691641046	3.0388681040673666
ENSG00000130255	3.122266977882844	3.0327661984684884	3.1584616894234565	3.1639875668184207	3.0815140923997784	3.01931746278374	3.276365463477118	3.1286911967436826	3.218058100224769	3.0551053194005537	3.072854535637623	3.0666322691641046	3.0803133042792856
ENSG00000185650	3.1979036636186624	3.10239245311238	3.3336762084023035	3.4015609592494367	3.1394356688230207	3.323054328815072	3.4274462640945513	3.159070988135442	3.4075940196578327	2.8548217519374304	3.387065472472336	3.0031480051672945	2.7459774913169404
ENSG00000125968	1.9379638552814693	2.2386569811488606	2.3039587453607853	2.1105437308877364	2.56648753502476	1.918997297292776	2.6663569225350594	2.0404600276228955	2.6035099057532824	2.0871798849030068	2.5621232530421887	1.9841557103525669	2.717209621519688
ENSG00000228236	2.8534564738119985	2.732219489868553	2.726005662049133	2.7604941030179084	2.9545169794721606	2.7242253507570835	3.1733861331727025	2.737302583119265	3.1754243532599418	2.797788553311294	2.83033174590855	2.935358639584429	2.995630651354313
ENSG00000187514	3.3124919819162697	3.286190345681248	3.4593708566851347	3.3284664791049767	3.2204754803485955	3.312521252148062	3.2262008058153255	3.1739216508110317	2.983994467998088	3.3193925791249734	3.2678900386788565	3.126325740183723	3.3767696010149355
ENSG00000244313	3.3339142422741235	3.2749341626300765	3.1584616894234565	3.0842737366048203	3.2833274407937187	3.323054328815072	3.4133248470930293	3.0484406427753967	3.35440724914545	3.1693272838354574	3.341085223223488	3.1826557359114025	3.0803133042792856
ENSG00000177600	3.0261241264936527	3.167484855614993	2.56635820688419	3.3914403475289516	3.194185226439923	3.2240069735708663	3.3084629110623456	3.3492455817244635	3.0353954882059933	3.2471722432323378	3.40928633760387	3.3229612699875357	3.100409070506912
ENSG00000172809	3.2336795109506355	3.192380031103144	3.1584616894234565	3.1511354227277844	3.1807762814228493	3.2240069735708663	3.243203507324315	3.432292342807808	3.4247123613364256	3.3193925791249734	3.2422506325320066	3.2096738553438056	3.2481060013587464
ENSG00000233762	2.836174260750944	2.942262665423057	2.6224540728668497	3.0562249865807183	3.1252667508030485	2.9456897629806336	2.806188290740361	2.96118357354665	3.0601380185832467	2.9764672521070947	2.905826181267292	2.917668111740643	2.950438904431433
ENSG00000166913	3.434638980021397	3.4317640362326447	3.6521447941156624	3.497503399714092	3.4197813407505078	3.323054328815072	3.2262008058153255	3.2853981606873472	3.5668661350832878	3.33093802505231	3.2928884657656745	3.1688679100659587	3.4771930587704616
ENSG00000132507	3.4995580661936585	3.3922882126924128	3.4593708566851347	3.4115801695756227	3.194185226439923	3.4780430309319543	3.6298603078170197	3.432292342807808	3.5958880403904034	3.2346116624975734	3.4522994663129807	3.3580407300977555	3.265123807232696
ENSG00000122566	3.2906007434205766	2.9263491519010416	3.3065237202365427	3.0980084994333645	2.9545169794721606	3.0473148513661403	3.243203507324315	3.159070988135442	3.107858931243811	3.0086682723828284	3.2678900386788565	3.0194008881689447	3.230793568631982
ENSG00000198034	3.2336795109506355	3.2973212360843536	2.9846024371720583	3.3065619814459613	3.3873734675906846	3.312521252148062	3.191302750575157	3.5089680547139888	3.4580942450276715	3.1959546264749363	3.16113518340774	3.2488797535831635	3.2131761273866397
ENSG00000102144	3.4441751770362368	3.308329592428281	3.126024274179163	3.317574204953684	3.3538800456745883	3.3741171374742818	3.3241333813478686	3.4983678068427233	3.6515210520733214	3.4995534542003512	3.4522994663129807	3.4668093549689423	3.2481060013587464
